asset,model,regime,n_days,mean_ret_%,vol_ann_%,worst_day_%,exceptions,breach_rate_%,expected_%,kupiec_p
SPY,normal_rolling,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,44,5.5696202531645564,5.000000000000004,0.4703026697928343
SPY,normal_rolling,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,16,7.2727272727272725,5.000000000000004,0.14626541108493207
SPY,normal_rolling,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,5,1.984126984126984,5.000000000000004,0.012802724254847742
SPY,normal_rolling,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,28,11.155378486055776,5.000000000000004,0.00010400894902162783
SPY,normal_rolling,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,31,4.1278295605858855,5.000000000000004,0.25875460754622825
SPY,ewma,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,39,4.936708860759493,5.000000000000004,0.9348165154331902
SPY,ewma,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,12,5.454545454545454,5.000000000000004,0.7603157337041674
SPY,ewma,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,13,5.158730158730158,5.000000000000004,0.9084112138393736
SPY,ewma,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,20,7.968127490039841,5.000000000000004,0.046161517602920976
SPY,ewma,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,41,5.459387483355526,5.000000000000004,0.5689738789106806
SPY,historical,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,44,5.5696202531645564,5.000000000000004,0.4703026697928343
SPY,historical,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,18,8.181818181818182,5.000000000000004,0.046420618980822614
SPY,historical,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,6,2.380952380952381,5.000000000000004,0.034352820644831805
SPY,historical,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,23,9.163346613545817,5.000000000000004,0.006413136597598124
SPY,historical,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,30,3.9946737683089215,5.000000000000004,0.19084830896533067
SPY,garch_normal,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,37,4.6835443037974684,5.000000000000004,0.6801168161986433
SPY,garch_normal,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,15,6.8181818181818175,5.000000000000004,0.2398124696510443
SPY,garch_normal,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,11,4.365079365079365,5.000000000000004,0.6367364999456029
SPY,garch_normal,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,22,8.764940239043826,5.000000000000004,0.01293689476098947
SPY,garch_normal,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,40,5.326231691078561,5.000000000000004,0.6846764957870136
SPY,garch_t,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,46,5.822784810126582,5.000000000000004,0.30053793784143723
SPY,garch_t,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,17,7.727272727272727,5.000000000000004,0.08457394442728228
SPY,garch_t,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,11,4.365079365079365,5.000000000000004,0.6367364999456029
SPY,garch_t,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,21,8.366533864541832,5.000000000000004,0.024987966212674406
SPY,garch_t,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,45,5.9920106524633825,5.000000000000004,0.22580589959349207
QQQ,normal_rolling,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,45,5.69620253164557,5.000000000000004,0.3793001654602439
QQQ,normal_rolling,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,19,8.636363636363637,5.000000000000004,0.024219225100027164
