asset,model,confidence,n_obs,exceptions,breach_rate,expected_rate,kupiec_lr,kupiec_p,kupiec_pass,christoffersen_ind_p,cc_p,traffic_light
EW,ewma,0.95,2264,108,0.04770318021201413,0.050000000000000044,0.2551751992983782,0.6134544052321804,True,0.5796945651430662,0.755064620201485,n/a
EW,garch_normal,0.95,2264,108,0.04770318021201413,0.050000000000000044,0.2551751992983782,0.6134544052321804,True,0.9428731576976731,0.8779592336941358,n/a
EW,garch_t,0.95,2264,112,0.04946996466431095,0.050000000000000044,0.01343543166467498,0.9077228324490808,True,0.5300509600086332,0.8155727565498766,n/a
EW,historical,0.95,2264,119,0.05256183745583039,0.050000000000000044,0.3078786775917024,0.5789848401096878,True,0.14265572236043766,0.2927379823552143,n/a
EW,normal_rolling,0.95,2264,110,0.04858657243816254,0.050000000000000044,0.09608266486645789,0.7565822195832959,True,0.0027455476977905624,0.010751736626333108,n/a
EW,ewma,0.99,2264,46,0.020318021201413426,0.010000000000000009,18.74524302930189,1.4939555527782034e-05,False,0.014895657369568438,4.38638466027097e-06,green
EW,garch_normal,0.99,2264,48,0.02120141342756184,0.010000000000000009,21.710370297172574,3.170725861756374e-06,False,0.020441030589126274,1.3144387071006847e-06,green
EW,garch_t,0.99,2264,34,0.015017667844522967,0.010000000000000009,4.989348438401976,0.02550381020156689,False,0.014096205800135597,0.0040554177579591455,green
EW,historical,0.99,2264,30,0.013250883392226149,0.010000000000000009,2.1929423806067803,0.1386442402476895,True,0.0004823516489159685,0.0007557396107510383,green
EW,normal_rolling,0.99,2264,50,0.022084805653710248,0.010000000000000009,24.84582259933279,6.21034816350452e-07,False,0.02753826922042124,3.549520913859183e-07,yellow
GLD,ewma,0.95,2264,115,0.05079505300353357,0.050000000000000044,0.0299782332903078,0.862539628090615,True,0.04261767585922338,0.12615539878287096,n/a
GLD,garch_normal,0.95,2264,114,0.05035335689045936,0.050000000000000044,0.005938039191391908,0.9385768688175146,True,0.5920435617790799,0.8636815981775593,n/a
GLD,garch_t,0.95,2264,120,0.053003533568904596,0.050000000000000044,0.42206015327815294,0.515910853847368,True,0.5082624966621783,0.6506057993113323,n/a
GLD,historical,0.95,2264,122,0.053886925795053005,0.050000000000000044,0.7030848804389507,0.4017490671436351,True,0.8629065580766928,0.6931902113545136,n/a
GLD,normal_rolling,0.95,2264,119,0.05256183745583039,0.050000000000000044,0.3078786775917024,0.5789848401096878,True,0.4790025515516022,0.6673063624756884,n/a
GLD,ewma,0.99,2264,42,0.018551236749116608,0.010000000000000009,13.355622403798634,0.00025764901873837065,False,0.8071404732101441,0.0012215830581481235,green
GLD,garch_normal,0.99,2264,39,0.017226148409893994,0.010000000000000009,9.819490169903531,0.0017267220017994633,False,0.24217717472883238,0.003721296990297329,green
GLD,garch_t,0.99,2264,26,0.011484098939929329,0.010000000000000009,0.48071026438589115,0.4881007720844779,True,0.43690622982069316,0.5812627598671174,green
GLD,historical,0.99,2264,33,0.014575971731448763,0.010000000000000009,4.196054213408274,0.04051815336602993,False,0.011762891267601328,0.0051376578176500765,green
GLD,normal_rolling,0.99,2264,41,0.018109540636042403,0.010000000000000009,12.126820155384962,0.0004970179653431828,False,0.2164861915146713,0.0010839253783642144,yellow
QQQ,ewma,0.95,2264,136,0.06007067137809187,0.050000000000000044,4.554206549722721,0.032837975773812644,False,0.7616384287419649,0.09796864483068057,n/a
QQQ,garch_normal,0.95,2264,138,0.060954063604240286,0.050000000000000044,5.361979536127819,0.02058039999150796,False,0.8317114594525694,0.06696605723838189,n/a
QQQ,garch_t,0.95,2264,142,0.0627208480565371,0.050000000000000044,7.161908748131054,0.007446791162943223,False,0.7017718849163893,0.02588033270084389,n/a
QQQ,historical,0.95,2264,125,0.055212014134275615,0.050000000000000044,1.2542503036686412,0.2627422422774095,True,0.1252417213660394,0.1649056054859277,n/a
QQQ,normal_rolling,0.95,2264,134,0.05918727915194346,0.050000000000000044,3.8090186121876286,0.05097731063367328,True,0.006523204812807881,0.003681641251224832,n/a
QQQ,ewma,0.99,2264,52,0.022968197879858657,0.010000000000000009,28.144930965448225,1.1256209264676187e-07,False,0.49018151929385534,6.09559432485085e-07,yellow
QQQ,garch_normal,0.99,2264,51,0.022526501766784453,0.010000000000000009,26.47531580733238,2.669272431976566e-07,False,0.46077137256675393,1.3577684958576697e-06,yellow
QQQ,garch_t,0.99,2264,36,0.015901060070671377,0.010000000000000009,6.753442534518058,0.009356698235061578,False,0.6029075940921542,0.029836056359693774,yellow
QQQ,historical,0.99,2264,36,0.015901060070671377,0.010000000000000009,6.753442534518058,0.009356698235061578,False,0.13231598812849343,0.011006369610778832,green
QQQ,normal_rolling,0.99,2264,67,0.02959363957597173,0.010000000000000009,57.5503684641792,3.297362383136715e-14,False,0.06133653834801589,5.5289106626332796e-14,yellow
SPY,ewma,0.95,2264,125,0.055212014134275615,0.050000000000000044,1.2542503036686412,0.2627422422774095,True,0.22972727341782406,0.25965544459937373,n/a
SPY,garch_normal,0.95,2264,125,0.055212014134275615,0.050000000000000044,1.2542503036686412,0.2627422422774095,True,0.06013943832097768,0.09127369273832753,n/a
SPY,garch_t,0.95,2264,140,0.061837455830388695,0.050000000000000044,6.231488502211732,0.012549820042314863,False,0.06878357478304653,0.008466393409103823,n/a
SPY,historical,0.95,2264,121,0.0534452296819788,0.050000000000000044,0.5538413243925788,0.4567523651000026,True,1.450205462405485e-05,6.265393660453977e-05,n/a
SPY,normal_rolling,0.95,2264,124,0.054770318021201414,0.050000000000000044,1.0534211433182463,0.30472048048508904,True,0.00037496990420615717,0.0010560765406270045,n/a
SPY,ewma,0.99,2264,56,0.024734982332155476,0.010000000000000009,35.20995113227832,2.960071299185074e-09,False,0.06102227783836689,3.910245460758688e-09,yellow
SPY,garch_normal,0.99,2264,50,0.022084805653710248,0.010000000000000009,24.84582259933279,6.21034816350452e-07,False,0.43216249349892955,2.956768192063919e-06,yellow
SPY,garch_t,0.99,2264,35,0.015459363957597174,0.010000000000000009,5.8423715376611085,0.015644726177587054,False,0.1185426601201568,0.015932070672075804,green
SPY,historical,0.99,2264,40,0.0176678445229682,0.010000000000000009,10.947702917523372,0.0009371973020798618,False,0.0005441424177911047,1.0619332369010692e-05,green
SPY,normal_rolling,0.99,2264,66,0.029151943462897525,0.010000000000000009,55.35589495487068,1.0058620603103918e-13,False,0.0005764472993795566,2.55351295663786e-15,yellow
TLT,ewma,0.95,2264,125,0.055212014134275615,0.050000000000000044,1.2542503036686412,0.2627422422774095,True,0.41766740701895466,0.384596801674965,n/a
TLT,garch_normal,0.95,2264,119,0.05256183745583039,0.050000000000000044,0.3078786775917024,0.5789848401096878,True,0.2743052234756931,0.4716658989160094,n/a
TLT,garch_t,0.95,2264,124,0.054770318021201414,0.050000000000000044,1.0534211433182463,0.30472048048508904,True,0.3912933112702003,0.408946810188093,n/a
TLT,historical,0.95,2264,122,0.053886925795053005,0.050000000000000044,0.7030848804389507,0.4017490671436351,True,0.18652622362956117,0.29406205584965917,n/a
TLT,normal_rolling,0.95,2264,105,0.04637809187279152,0.050000000000000044,0.6401018529222711,0.42367391715916347,True,0.07617582859582905,0.15071247044024005,n/a
TLT,ewma,0.99,2264,32,0.014134275618374558,0.010000000000000009,3.4642717869375588,0.06270811357581352,True,0.33799921326749427,0.11178938891014878,green
TLT,garch_normal,0.99,2264,27,0.011925795053003533,0.010000000000000009,0.7988918681190853,0.37142488936957874,True,0.041270974330070764,0.08358653461106846,green
TLT,garch_t,0.99,2264,22,0.009717314487632508,0.010000000000000009,0.018447529825351694,0.8919622486133659,True,0.017233455199331726,0.05810843279474798,green
TLT,historical,0.99,2264,30,0.013250883392226149,0.010000000000000009,2.1929423806067803,0.1386442402476895,True,0.006544107817033296,0.008283571526325528,green
TLT,normal_rolling,0.99,2264,28,0.012367491166077738,0.010000000000000009,1.1920585448802967,0.2749147163503819,True,0.00424869395101779,0.009249338451875477,green
